URL,Title,Localisation,Price,Chambre,Salle de bain,Type,Secteur,Salons,Surface habitable,Age de bien,Etage,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine equipee,Duplex,Meuble,Parking,Securite,Terrasse
https://www.avito.ma/fr/bir_rami/appartements/Appartement_a__vendre_55659283.htm,Appartement a vendre,kénitra,50000.0,3,1,Demande,bir rami,1.0,70.0,3.0,3,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_%C3%A0_a%C3%AFnseba%C3%A2_1%C3%A9re_%C3%A9tage_55659196.htm,Appartement à vendre à aïnsebaâ 1ére étage,casablanca,500000.0,2,1,Vendre,ain sebaa,2.0,60.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/el_haddada/appartements/Appartement_A_Vendre_Hedada_55658997.htm,Appartement A Vendre Hedada,kénitra,680000.0,2,1,Vendre,el haddada,1.0,92.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/hay_chmaou/appartements/appartement_%C3%A0_vendre__55658821.htm,appartement à vendre,salé,18000000.0,2,1,Vendre,hay chmaou,1.0,32.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/hamria/appartements/appartement_%C3%A0_vendre_au_centre_de_hamria__55658820.htm,appartement à vendre au centre de hamria,meknès,1357965.6948487326,2,1,Vendre,hamria,2.0,140.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_142_m%C2%B2_%C3%A0_Tanger_centre_55658492.htm,Appartement à vendre 142 m² à Tanger centre,tanger,3249000.0,3,2,Vendre,centre ville,3.0,142.0,3.0,4,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/vi/53634704.htm,Appartement à vendre 80 m² à Agadir,agadir,640000.0,3,2,Vendre,abattoirs,1.0,80.0,3.0,1,True,True,False,False,True,False,True,False,True,False,True
https://www.avito.ma/vi/55630439.htm,Appartement à vendre 120 m² à Agadir,agadir,1200000.0,2,2,Vendre,amicales,1.0,120.0,2.0,4,True,True,False,False,True,False,False,False,True,False,True
https://www.avito.ma/fr/dar_bouazza/appartements/_appartement_a_vendre_%C3%A0_dar_bouazza__Vue_sur_mer__55658448.htm,appartement a vendre à dar bouazza Vue sur mer,dar bouazza,460000.0,2,1,Vendre,toute la ville,1.0,59.0,2.0,1,True,False,False,False,True,False,False,False,True,False,True
https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Bouskoura_55658376.htm,Appartement à vendre 56 m² à Bouskoura,bouskoura,1082826.9461923684,2,1,Vendre,bouskoura centre,2.0,56.0,2.0,4,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/settat/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Settat_55658290.htm,Appartement à vendre 70 m² à Settat,settat,450000.0,2,1,Vendre,toute la ville,1.0,70.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_118_m%C2%B2_maarif_les_princesses_55658220.htm,Appartement à vendre 118 m² maarif les princesses,casablanca,2000000.0,3,2,Vendre,les princesses,3.0,118.0,3.0,5,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/nouaceur/appartements/Appartement_%C3%A0_vendre_58_m%C2%B2_%C3%A0_Nouaceur_55657815.htm,Appartement à vendre 58 m² à Nouaceur,nouaceur,250000.0,2,1,Vendre,toute la ville,1.0,58.0,8.0,4,False,True,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_58_m%C2%B2_%C3%A0_Marrakech_55657799.htm,Appartement à vendre 58 m² à Marrakech,marrakech,620000.0,2,1,Vendre,guéliz,1.0,58.0,2.0,0,False,True,True,True,True,False,False,False,True,False,False
https://www.avito.ma/fr/beaus%C3%A9jour/appartements/appt_a_vendre_55657785.htm,appt a vendre,casablanca,1174181.5189668797,2,1,Vendre,beauséjour,2.0,69.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/je_cherche_App_a_vendre_55657725.htm,je cherche App a vendre,casablanca,1260935.4183262612,2,1,Demande,belvédère,2.0,90.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_62_m%C2%B2_%C3%A0_Casablanca_55657226.htm,Appartement à vendre 62 m² à Casablanca,casablanca,1220231.878661846,2,1,Vendre,ain sebaa,2.0,62.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/m'hamid/appartements/Appartement_%C3%A0_vendre_510_m%C2%B2_%C3%A0_Marrakech_55656650.htm,Appartement à vendre 510 m² à Marrakech,marrakech,2845303.8838759717,2,1,Vendre,m'hamid,6.0,510.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/hay_moulay_rachid/appartements/appartement_a_vendre__55656408.htm,appartement a vendre,casablanca,690000.0,2,1,Vendre,hay moulay rachid,2.0,73.0,2.0,2,False,True,False,False,True,False,False,False,True,False,False
